Name,Unit,Average Price,Min Price,Usage Count,Notes
Cooking Wine,1 kg,,,1,Add realistic Sri Lankan market price
Store-,1 kg,,,1,Add realistic Sri Lankan market price
Gochujang Korean Chili Paste,1 kg,,,1,Add realistic Sri Lankan market price
Pureed Optional,1 kg,,,1,Add realistic Sri Lankan market price
1/3 –4 Lbs Lamb Chops About 1500–1800 Grams,1 kg,,,1,Add realistic Sri Lankan market price
Or Mint,1 kg,,,1,Add realistic Sri Lankan market price
–4 Cups Water About 700–950 Ml,1 kg,,,1,Add realistic Sri Lankan market price
Sweet Paprika,1 kg,,,1,Add realistic Sri Lankan market price
1/2 Cups Yellow Rice,1 kg,,,1,Add realistic Sri Lankan market price
Alone Or Use As Side,1 kg,,,1,Add realistic Sri Lankan market price
Yellow Rice Dinner Mix Or Two Bags,1 kg,,,1,Add realistic Sri Lankan market price
2Nd,1 kg,,,1,Add realistic Sri Lankan market price
Chickpeas About 125 Grams Or 9 Oz Chickpeas About 250 Grams,1 kg,,,1,Add realistic Sri Lankan market price
Yellow Rice About 90 Grams,1 kg,,,1,Add realistic Sri Lankan market price
Zucchini,1 kg,,,1,Add realistic Sri Lankan market price
3-4 Tablespoons Corn,1 kg,,,1,Add realistic Sri Lankan market price
Bouillon Cube Optional,1 kg,,,1,Add realistic Sri Lankan market price
Balsamic Vinegar Or Lemon Juice,1 kg,,,1,Add realistic Sri Lankan market price
Corn Tortillas,1 kg,,,1,Add realistic Sri Lankan market price
Shredded Cheese Mozzarella Or Mexican Blend,1 kg,,,1,Add realistic Sri Lankan market price
Optional Yellow Rice Side,1 kg,,,1,Add realistic Sri Lankan market price
Tortillas Slightly,1 kg,,,1,Add realistic Sri Lankan market price
Shredded Cheese Generously On Top.,1 kg,,,1,Add realistic Sri Lankan market price
At 180°C 350°F,1 kg,,,1,Add realistic Sri Lankan market price
Your Favorite Packaged Yellow Rice Uncooked,1 kg,,,1,Add realistic Sri Lankan market price
Mixed Vegetables,1 kg,,,1,Add realistic Sri Lankan market price
Calamansi Juice Or Lemon,1 kg,,,1,Add realistic Sri Lankan market price
Thyme,1 kg,,,1,Add realistic Sri Lankan market price
Spanish Paprika,1 kg,,,1,Add realistic Sri Lankan market price
1-1/2 Cup Yellow Rice Mix,1 kg,,,1,Add realistic Sri Lankan market price
Harissa,1 kg,,,1,Add realistic Sri Lankan market price
Capers,1 kg,,,1,Add realistic Sri Lankan market price
1-1/2 Cup Water,1 kg,,,1,Add realistic Sri Lankan market price
Fontina Cheese Chunks,1 kg,,,1,Add realistic Sri Lankan market price
Parmigiano-Reggiano Cheese Topping,1 kg,,,1,Add realistic Sri Lankan market price
10Th,1 kg,,,1,Add realistic Sri Lankan market price
Crawfish Tails,1 kg,,,1,Add realistic Sri Lankan market price
Cajun Seasoning Plus Extra,1 kg,,,1,Add realistic Sri Lankan market price
Dill,1 kg,,,1,Add realistic Sri Lankan market price
Chuck,1 kg,,,1,Add realistic Sri Lankan market price
I Hope You Enjoy!!!,1 kg,,,1,Add realistic Sri Lankan market price
Yellow Rice 1 Pound Total,1 kg,,,1,Add realistic Sri Lankan market price
Petite English Peas,1 kg,,,1,Add realistic Sri Lankan market price
If You Like Spicy Otherwise Don’T Use It,1 kg,,,1,Add realistic Sri Lankan market price
Mango Chutney,1 kg,,,1,Add realistic Sri Lankan market price
Stock Cube Crumbled,1 kg,,,1,Add realistic Sri Lankan market price
12 3/10 Oz Basmati Rice,1 kg,,,1,Add realistic Sri Lankan market price
1.76 Oz Raisins,1 kg,,,1,Add realistic Sri Lankan market price
Oven To 350 F/ 175 C,1 kg,,,1,Add realistic Sri Lankan market price
Ranch Seasoning,1 kg,,,1,Add realistic Sri Lankan market price
Spoonfuls Of Mayo,1 kg,,,1,Add realistic Sri Lankan market price
Serving Size Of Plain Greek Yogurt,1 kg,,,1,Add realistic Sri Lankan market price
Dill Works Too,1 kg,,,1,Add realistic Sri Lankan market price
Package Of Gardein Meatless Chick’N Strips,1 kg,,,1,Add realistic Sri Lankan market price
3Rd,1 kg,,,1,Add realistic Sri Lankan market price
Vermicelli,1 kg,,,1,Add realistic Sri Lankan market price
Saffron Food Color,1 kg,,,1,Add realistic Sri Lankan market price
Bouillon Cubes,1 kg,,,1,Add realistic Sri Lankan market price
Water Boiling,1 kg,,,1,Add realistic Sri Lankan market price
Ghee Home Made,1 kg,,,1,Add realistic Sri Lankan market price
Tbsp. Cilantro,1 kg,,,1,Add realistic Sri Lankan market price
1-2 Tbsp. Taco Seasoning Homemade Or Store-,1 kg,,,1,Add realistic Sri Lankan market price
Tsp. Hot Sauce,1 kg,,,1,Add realistic Sri Lankan market price
Tsp. Cumin,1 kg,,,1,Add realistic Sri Lankan market price
Avocado,1 kg,,,1,Add realistic Sri Lankan market price
Lean Turkey,1 kg,,,1,Add realistic Sri Lankan market price
Sazon With Achiote,1 kg,,,1,Add realistic Sri Lankan market price
Sauté Your Turkey Until No Pink Remains ……,1 kg,,,1,Add realistic Sri Lankan market price
Turkey Chili Turkey Chili Inspired By Recipe Here: Https://Jdboelter.Blogspot.Com/2015/10/Turkey-Chili-Recipe-Nyt-Cooking_30.Html Oanh Luong,1 kg,,,1,Add realistic Sri Lankan market price
Candlenuts,1 kg,,,1,Add realistic Sri Lankan market price
Indofood Rendang Paste,1 kg,,,1,Add realistic Sri Lankan market price
Brown Rice About 200 Grams,1 kg,,,1,Add realistic Sri Lankan market price
